color_name,hex,R,G,B,color_class
Coquelicot,#f8370f,248,55,15,Red
Fandango,#ae1c96,174,28,150,Pink
June Bud,#bfcd62,191,205,98,Green
Green (Ryb),#71ce29,113,206,41,Green
Deep Magenta,#d221be,210,33,190,Pink
Waterspout,#9ff6e0,159,246,224,Green
Alloy Orange,#c36e13,195,110,19,Brown
Indigo (Web),#4911ab,73,17,171,Blue
Linen,#fcf1e9,252,241,233,White
Sky Magenta,#ca7bac,202,123,172,Pink
Army Green,#4f5a05,79,90,5,Green
Fuzzy Wuzzy,#cd7071,205,112,113,Pink
Aquamarine,#7df8e2,125,248,226,Green
Grullo,#a7937c,167,147,124,Grey
Blue (Ryb),#0d3af6,13,58,246,Blue
Turkish Rose,#b86d8b,184,109,139,Pink
Denim,#1360d9,19,96,217,Blue
Paris Green,#4dd377,77,211,119,Green
Green (Ryb),#57b04a,87,176,74,Green
University Of California Gold,#b5801c,181,128,28,Brown
Carolina Blue,#91b7d7,145,183,215,Blue
Spring Bud,#94e800,148,232,0,Green
Blue-Green,#179fae,23,159,174,Blue
Pastel Green,#7ae87d,122,232,125,Green
Dim Gray,#627463,98,116,99,Grey
Glaucous,#737db2,115,125,178,Purple
Dark Goldenrod,#b19d00,177,157,0,Yellow
Spring Green,#0cf979,12,249,121,Green
Wild Blue Yonder,#a8acca,168,172,202,Purple
Citrine,#ddd30b,221,211,11,Yellow
Lawn Green,#72f73a,114,247,58,Green
June Bud,#a2d75e,162,215,94,Green
Maya Blue,#80b8f6,128,184,246,Blue
Medium Blue,#0207cc,2,7,204,Blue
Pearly Purple,#b66d9f,182,109,159,Pink
Ultramarine Blue,#3357f0,51,87,240,Blue
Dark Jungle Green,#23243d,35,36,61,Purple
Inchworm,#a3fd5c,163,253,92,Green
St. Patrick'S Blue,#1e3988,30,57,136,Blue
Han Purple,#352afc,53,42,252,Blue
Persian Indigo,#47115b,71,17,91,Purple
Majorelle Blue,#474adf,71,74,223,Blue
Violet (Ryb),#6812bc,104,18,188,Purple
Kelly Green,#72bb12,114,187,18,Green
Ochre,#cb7317,203,115,23,Brown
Deep Carrot Orange,#e65d2b,230,93,43,Orange
Yellow-Green,#93dd29,147,221,41,Green
Lime Green,#3ce23d,60,226,61,Green
Han Blue,#505fc9,80,95,201,Blue
Tiger'S Eye,#df983d,223,152,61,Orange
Bistre,#3b2e2a,59,46,42,Grey
University Of California Gold,#9c902d,156,144,45,Green
Mint,#3fcd99,63,205,153,Green
Sky Magenta,#c573b9,197,115,185,Pink
Battleship Grey,#828282,130,130,130,Grey
Terra Cotta,#e7805e,231,128,94,Orange
Lincoln Green,#145918,20,89,24,Green
Viridian,#417d7b,65,125,123,Green
Ceil,#8f92da,143,146,218,Purple
Ball Blue,#2e9bc2,46,155,194,Blue
Bright Ube,#c1b1e9,193,177,233,Purple
Scarlet,#f22209,242,34,9,Red
Terra Cotta,#dc785a,220,120,90,Red
Cerise Pink,#f02d7e,240,45,126,Pink
Turquoise,#14dec5,20,222,197,Green
Aurometalsaurus,#578184,87,129,132,Blue
Mantis,#80c469,128,196,105,Green
Pink Pearl,#ea8dd0,234,141,208,Pink
Inchworm,#bdf84d,189,248,77,Green
Radical Red,#f7355e,247,53,94,Pink
Periwinkle,#cccdf7,204,205,247,Purple
Medium Spring Bud,#c9e99d,201,233,157,Green
Han Purple,#5e0dde,94,13,222,Blue
Gray (X11 Gray),#b7bbbb,183,187,187,Grey
Sap Green,#57942a,87,148,42,Green
Inchworm,#b0e74d,176,231,77,Green
Dark Goldenrod,#c38e0b,195,142,11,Brown
Skobeloff,#016f75,1,111,117,Blue
Wood Brown,#c38467,195,132,103,Brown
Medium Turquoise,#42e3bf,66,227,191,Green
Caput Mortuum,#582338,88,35,56,Brown
Slate Blue,#7b63cf,123,99,207,Purple
Sandy Brown,#f39562,243,149,98,Orange
Citrine,#cac918,202,201,24,Yellow
Medium Blue,#3008be,48,8,190,Blue
Fulvous,#dd7f14,221,127,20,Orange
Sandstorm,#f0ce48,240,206,72,Yellow
Army Green,#3e5103,62,81,3,Green
Medium Blue,#0513e5,5,19,229,Blue
Antique Ruby,#87253b,135,37,59,Pink
Ufo Green,#2be57a,43,229,122,Green
Sienna,#85281b,133,40,27,Brown
Blue (Pigment),#37358a,55,53,138,Blue
Chamoisee,#9f7a5a,159,122,90,Brown
Dandelion,#f3d72f,243,215,47,Yellow
Steel Blue,#3880b8,56,128,184,Blue
Palatinate Blue,#3c1ddf,60,29,223,Blue
Malachite,#19c250,25,194,80,Green
Purple Pizzazz,#f648f5,246,72,245,Pink
Purple Pizzazz,#ed45e9,237,69,233,Pink
Dark Coral,#da524d,218,82,77,Red
Bright Ube,#d388e5,211,136,229,Pink
Oxford Blue,#130d4b,19,13,75,Blue
Dark Yellow,#8d8e0b,141,142,11,Green
Heliotrope,#cf69fc,207,105,252,Pink
Lavender Indigo,#8f4de0,143,77,224,Purple
Psychedelic Purple,#e70cea,231,12,234,Pink
Copper,#a57229,165,114,41,Brown
Harlequin,#44f40c,68,244,12,Green
Deep Magenta,#cc07e9,204,7,233,Pink
Shocking Pink,#eb03bd,235,3,189,Pink
Chinese Red,#a93705,169,55,5,Brown
Bright Green,#6eeb13,110,235,19,Green
Pastel Purple,#a99cb3,169,156,179,Grey
Medium Spring Green,#05f79d,5,247,157,Green
Jazzberry Jam,#960a5b,150,10,91,Purple
Otter Brown,#5f3a16,95,58,22,Brown
Medium Turquoise,#53d7d6,83,215,214,Blue
Han Purple,#450ef0,69,14,240,Blue
Han Purple,#4812db,72,18,219,Blue
Magic Mint,#a6efd6,166,239,214,Green
Powder Blue (Web),#c7e0f1,199,224,241,Blue
Cg Red,#dc391c,220,57,28,Orange
Lavender (Floral),#b482ec,180,130,236,Purple
Mint,#52a980,82,169,128,Green
Mauvelous,#efada9,239,173,169,Red
Dark Coral,#ce633e,206,99,62,Orange
Trolley Grey,#7d7d7d,125,125,125,Grey
Light Thulian Pink,#db8fb5,219,143,181,Pink
Light Sky Blue,#8dadfa,141,173,250,Blue
Denim,#115bdd,17,91,221,Blue
Palatinate Blue,#3e3bfc,62,59,252,Blue
Little Boy Blue,#72a0da,114,160,218,Blue
French Beige,#a77c66,167,124,102,Brown
Royal Fuchsia,#cc3091,204,48,145,Pink
Steel Blue,#5090ba,80,144,186,Blue
Pistachio,#94cf62,148,207,98,Green
Ruddy Brown,#ba7027,186,112,39,Brown
Lavender Indigo,#9746de,151,70,222,Purple
Mantis,#6fc643,111,198,67,Green
Spring Bud,#a5f014,165,240,20,Green
Pear,#dce326,220,227,38,Yellow
Asparagus,#8eaa7b,142,170,123,Green
Tangelo,#f55017,245,80,23,Red
Kenyan Copper,#781a05,120,26,5,Brown
India Green,#0dbf08,13,191,8,Green
Indigo,#6500f8,101,0,248,Blue
Turquoise,#38fbc5,56,251,197,Green
Kelly Green,#48990e,72,153,14,Green
Raspberry Rose,#b4455c,180,69,92,Pink
Medium Orchid,#cb4bf9,203,75,249,Pink
Lapis Lazuli,#226798,34,103,152,Blue
Rust,#b34706,179,71,6,Brown
Palatinate Blue,#274aef,39,74,239,Blue
Avocado,#5f6a01,95,106,1,Green
Stil De Grain Yellow,#fbd75d,251,215,93,Yellow
Burnt Umber,#8c331f,140,51,31,Brown
Deep Cerise,#d13984,209,57,132,Pink
Celadon Green,#2e8987,46,137,135,Blue
Jazzberry Jam,#ad015c,173,1,92,Pink
Medium Blue,#0106e5,1,6,229,Blue
Otter Brown,#654c15,101,76,21,Brown
Olive,#857b07,133,123,7,Green
Green (Ryb),#56a33c,86,163,60,Green
Razzle Dazzle Rose,#ef3dc6,239,61,198,Pink
Olive Drab (Web) (Olive Drab #3),#6e913f,110,145,63,Green
Inchworm,#95ea50,149,234,80,Green
Celestial Blue,#539ed7,83,158,215,Blue
Dark Gray,#aaa59c,170,165,156,Grey
Medium Orchid,#ad47d7,173,71,215,Pink
University Of California Gold,#aa962d,170,150,45,Green
Sea Green,#318463,49,132,99,Green
Iceberg,#72d0d3,114,208,211,Blue
Pale Goldenrod,#ecef9a,236,239,154,Yellow
Dark Olive Green,#4e5c2e,78,92,46,Green
Dark Tangerine,#fcab28,252,171,40,Orange
Dark Yellow,#a28101,162,129,1,Green
Bittersweet,#f67663,246,118,99,Orange
Smokey Topaz,#94553c,148,85,60,Brown
Yale Blue,#104ca0,16,76,160,Blue
Smoky Black,#0c052a,12,5,42,Blue
Spring Green,#33f983,51,249,131,Green
Aquamarine,#80e9ca,128,233,202,Green
Medium Turquoise,#3dcbc2,61,203,194,Green
Dogwood Rose,#d91a5f,217,26,95,Pink
Purple Taupe,#473350,71,51,80,Purple
Steel Blue,#3d7f9f,61,127,159,Blue
Warm Black,#0d4341,13,67,65,Green
Neon Green,#25fe3e,37,254,62,Green
Cool Grey,#8b8ba4,139,139,164,Purple
Cordovan,#8b434a,139,67,74,Brown
Kenyan Copper,#892502,137,37,2,Brown
Persian Rose,#e81fb3,232,31,179,Pink
Mantis,#7ec16d,126,193,109,Green
Palatinate Purple,#652b6b,101,43,107,Purple
Sandy Brown,#f7a54f,247,165,79,Orange
Boysenberry,#823462,130,52,98,Purple
Vivid Auburn,#982a1b,152,42,27,Brown
Coral Red,#f53a4b,245,58,75,Red
Bright Turquoise,#04f9d4,4,249,212,Blue
Pine Green,#137f68,19,127,104,Green
Tickle Me Pink,#f876ab,248,118,171,Pink
Copper Red,#c9815d,201,129,93,Brown
Army Green,#40501b,64,80,27,Green
Hot Pink,#fe66bc,254,102,188,Pink
Deep Magenta,#cd19e4,205,25,228,Pink
Satin Sheen Gold,#c49d34,196,157,52,Yellow
Lavender Indigo,#9465ef,148,101,239,Purple
Vanilla,#f4fea9,244,254,169,Yellow
Red-Brown,#a93134,169,49,52,Red
St. Patrick'S Blue,#253587,37,53,135,Blue
Raw Umber,#83613c,131,97,60,Brown
Urobilin,#d5b307,213,179,7,Yellow
Hot Magenta,#f619cb,246,25,203,Pink
Dark Slate Blue,#464e8e,70,78,142,Blue
Light Green,#8cf881,140,248,129,Green
Byzantine,#c51ea5,197,30,165,Pink
Medium Slate Blue,#787be9,120,123,233,Blue
Yellow (Ryb),#e5f93b,229,249,59,Yellow
Pearly Purple,#ac4ea0,172,78,160,Pink
Spiro Disco Ball,#1acce7,26,204,231,Blue
Dark Yellow,#a19907,161,153,7,Green
Beaver,#aa8476,170,132,118,Brown
Blue Gray,#697cd6,105,124,214,Blue
Violet-Blue,#3249ab,50,73,171,Blue
Slate Blue,#6e60cc,110,96,204,Blue
Myrtle,#273f0d,39,63,13,Green
Citrine,#d1db10,209,219,16,Yellow
Violet (Ryb),#590ebf,89,14,191,Blue
Verdigris,#4ab5b3,74,181,179,Green
Light Pastel Purple,#b29cf6,178,156,246,Purple
Fawn,#e1a070,225,160,112,Orange
Dark Raspberry,#782957,120,41,87,Purple
Ruddy Pink,#e48b9a,228,139,154,Red
Medium Turquoise,#44cdf9,68,205,249,Blue
Deep Cerise,#dc2f8c,220,47,140,Pink
Tumbleweed,#eba785,235,167,133,Orange
Palatinate Blue,#2b3bc9,43,59,201,Blue
Olivine,#a3b979,163,185,121,Green
Amethyst,#8a60ca,138,96,202,Purple
Telemagenta,#ca397d,202,57,125,Pink
Medium Sea Green,#3bb355,59,179,85,Green
Pale Blue,#bbede4,187,237,228,Green
Regalia,#5c2789,92,39,137,Purple
Light Brown,#ae6522,174,101,34,Brown
Medium Blue,#081bc6,8,27,198,Blue
Sap Green,#507d1f,80,125,31,Green
Pale Green,#aff78b,175,247,139,Green
Wine Dregs,#551f4a,85,31,74,Purple
Dark Magenta,#860090,134,0,144,Pink
Malachite,#09c762,9,199,98,Green
Rose,#fd157a,253,21,122,Pink
Tyrian Purple,#5a0351,90,3,81,Purple
Olive Drab #7,#423d1e,66,61,30,Green
Bright Turquoise,#16ecd6,22,236,214,Blue
Paris Green,#53e967,83,233,103,Green
Dark Terra Cotta,#db475c,219,71,92,Red
Dark Sea Green,#77c096,119,192,150,Green
Steel Blue,#4376a0,67,118,160,Blue
True Blue,#1c73ca,28,115,202,Blue
Yellow-Green,#9cd142,156,209,66,Green
Dark Yellow,#9b8612,155,134,18,Green
Dark Scarlet,#450118,69,1,24,Pink
Melon,#e4bdb8,228,189,184,Red
Jasper,#cd3c3b,205,60,59,Red
Sapphire,#055bb3,5,91,179,Blue
Green (Crayola),#17b75e,23,183,94,Green
Green (Ryb),#61b229,97,178,41,Green
Puce,#cc9b93,204,155,147,Red
Pastel Green,#7bdf44,123,223,68,Green
Dark Byzantium,#55345e,85,52,94,Purple
Plum (Traditional),#894198,137,65,152,Purple
Dark Magenta,#8e1b9a,142,27,154,Purple
Taupe Gray,#7e998c,126,153,140,Grey
Bright Cerulean,#27b4d9,39,180,217,Blue
Sunset,#efd7aa,239,215,170,Yellow
Mountain Meadow,#2dbc99,45,188,153,Green
Yellow-Green,#90a02c,144,160,44,Green
Celadon Green,#2c6f78,44,111,120,Blue
Turquoise,#2ae3cf,42,227,207,Green
Kelly Green,#52e013,82,224,19,Green
Sea Green,#308f43,48,143,67,Green
Phthalo Green,#0c2b2e,12,43,46,Blue
Lime Green,#51ea44,81,234,68,Green
Orange (Ryb),#f8960f,248,150,15,Orange
Inchworm,#b8f54e,184,245,78,Green
Wine,#68352f,104,53,47,Brown
Deep Lilac,#9949c9,153,73,201,Pink
Ucla Blue,#52878a,82,135,138,Blue
Red (Pigment),#f91c1e,249,28,30,Red
Dark Magenta,#980293,152,2,147,Pink
Pearly Purple,#bc6b95,188,107,149,Pink
Antique Brass,#d3a270,211,162,112,Brown
Persian Pink,#ef85cb,239,133,203,Pink
Dogwood Rose,#d7205f,215,32,95,Red
Purple Pizzazz,#fc49bf,252,73,191,Pink
Medium Spring Bud,#d0d980,208,217,128,Green
Raspberry Pink,#d95a9e,217,90,158,Pink
Forest Green (Web),#208329,32,131,41,Green
French Lilac,#836691,131,102,145,Purple
Rosewood,#5d0710,93,7,16,Brown
Kelly Green,#559f19,85,159,25,Green
Hot Magenta,#fc23d0,252,35,208,Pink
Screamin' Green,#72fc69,114,252,105,Green
Pastel Green,#7dd286,125,210,134,Green
Jet,#3a2537,58,37,55,Purple
Celestial Blue,#43b2e3,67,178,227,Blue
Medium Red-Violet,#c32d83,195,45,131,Pink
Magenta,#f402fb,244,2,251,Pink
Persian Indigo,#2d096b,45,9,107,Blue
Toolbox,#7779ba,119,121,186,Blue
Flame,#e95a15,233,90,21,Orange
Pear,#bdd320,189,211,32,Yellow
Indigo,#7025fa,112,37,250,Purple
Ufo Green,#4af35c,74,243,92,Green
Medium Spring Bud,#c3f18e,195,241,142,Green
June Bud,#b7dd3a,183,221,58,Green
Pale Green,#98f4a6,152,244,166,Green
Celadon Green,#2b8e90,43,142,144,Blue
Spiro Disco Ball,#3bb5f8,59,181,248,Blue
Pale Green,#9ff89d,159,248,157,Green
Saddle Brown,#83490f,131,73,15,Brown
Carmine Pink,#e85441,232,84,65,Red
Rose Madder,#e33236,227,50,54,Red
Khaki (Html/Css) (Khaki),#c3a5a1,195,165,161,Brown
Dark Yellow,#97a219,151,162,25,Green
Violet (Ryb),#851cc1,133,28,193,Purple
Paris Green,#52f554,82,245,84,Green
Light Brown,#ba5d1e,186,93,30,Brown
Terra Cotta,#ed7e62,237,126,98,Red
Dark Goldenrod,#b49004,180,144,4,Green
Rose Vale,#a54a53,165,74,83,Red
Forest Green (Web),#32971f,50,151,31,Green
Spiro Disco Ball,#3ec2f3,62,194,243,Blue
Copper Penny,#b56958,181,105,88,Brown
Mint,#4c9b85,76,155,133,Green
Green-Yellow,#aee020,174,224,32,Green
Green-Yellow,#8ffb3a,143,251,58,Green
Dark Goldenrod,#c2790c,194,121,12,Orange
Electric Ultramarine,#440be6,68,11,230,Blue
Kenyan Copper,#6a270a,106,39,10,Brown
Cool Black,#1c3060,28,48,96,Blue
Medium Aquamarine,#4be1a8,75,225,168,Green
Celadon Green,#2d6573,45,101,115,Blue
Spring Bud,#99fc09,153,252,9,Green
Mantis,#60d949,96,217,73,Green
Dark Slate Gray,#2f4b47,47,75,71,Grey
Peridot,#e2ec1c,226,236,28,Yellow
Pastel Green,#67e952,103,233,82,Green
Ultramarine,#120b90,18,11,144,Blue
Tufts Blue,#4189c2,65,137,194,Blue
Granny Smith Apple,#a4f4a9,164,244,169,Green
Light Sky Blue,#7dd8f9,125,216,249,Blue
Debian Red,#d71250,215,18,80,Red
Sepia,#574a14,87,74,20,Green
Vermilion (Plochere),#d76c3c,215,108,60,Orange
Blue,#0e04f3,14,4,243,Blue
Cocoa Brown,#cf6117,207,97,23,Orange
Olive,#769807,118,152,7,Green
Majorelle Blue,#5744f6,87,68,246,Blue
Pale Carmine,#ab4b32,171,75,50,Brown
Malachite,#21e347,33,227,71,Green
Cerulean Frost,#6c9ec0,108,158,192,Blue
Steel Blue,#4b90b0,75,144,176,Blue
Lavender Indigo,#a95aec,169,90,236,Pink
Stormcloud,#3a6a5b,58,106,91,Green
Rich Lavender,#a554cc,165,84,204,Purple
Caput Mortuum,#591422,89,20,34,Brown
Thulian Pink,#ee7aa4,238,122,164,Pink
Ufo Green,#45ef88,69,239,136,Green
Sap Green,#43801f,67,128,31,Green
Sky Magenta,#c97db3,201,125,179,Green
Raspberry Pink,#e242b7,226,66,183,Pink
Fuchsia (Crayola),#d244b9,210,68,185,Pink
Medium Blue,#1f10d0,31,16,208,Blue
Ucla Blue,#696998,105,105,152,Blue
Blizzard Blue,#abe1f9,171,225,249,Blue
Orchid,#d950db,217,80,219,Pink
Dark Scarlet,#591211,89,18,17,Brown
Burgundy,#7a0b2a,122,11,42,Red
Cerise Pink,#f03e80,240,62,128,Red
Rich Lilac,#b762de,183,98,222,Purple
Lime (Color Wheel),#b5f80f,181,248,15,Green
Pastel Purple,#b99ea6,185,158,166,Grey
Limerick,#a5d30a,165,211,10,Green
Turkish Rose,#ae7e7b,174,126,123,Brown
Hollywood Cerise,#f514a9,245,20,169,Pink
Thistle,#ceb9da,206,185,218,Blue
Ruby Red,#901424,144,20,36,Red
Light Khaki,#eae394,234,227,148,Yellow
Deep Carmine Pink,#ed2d42,237,45,66,Red
Green (Ryb),#75b02a,117,176,42,Green
Bright Green,#69e517,105,229,23,Green
Urobilin,#c7b020,199,176,32,Yellow
Waterspout,#90f1f9,144,241,249,Blue
Medium Spring Green,#0ffca5,15,252,165,Green
Twilight Lavender,#855766,133,87,102,Purple
Spring Green,#00fd73,0,253,115,Green
Purple (Html/Css),#86056a,134,5,106,Purple
Dark Sea Green,#96a68c,150,166,140,Green
Fuzzy Wuzzy,#d17664,209,118,100,Orange
Olive Drab (Web) (Olive Drab #3),#6b8d17,107,141,23,Green
Medium Spring Bud,#d6e09a,214,224,154,Green
Celestial Blue,#4c8dd2,76,141,210,Blue
Vivid Burgundy,#a70937,167,9,55,Red
Blue (Munsell),#018caf,1,140,175,Blue
Goldenrod,#cba60a,203,166,10,Yellow
Denim,#256cb6,37,108,182,Blue
Midnight Blue,#221455,34,20,85,Blue
Maize,#fce55c,252,229,92,Yellow
Barn Red,#880b08,136,11,8,Red
Paris Green,#47d27d,71,210,125,Green
Pastel Green,#7add84,122,221,132,Green
Wild Strawberry,#fd40a1,253,64,161,Pink
Bright Turquoise,#10e5f9,16,229,249,Blue
Vegas Gold,#cea259,206,162,89,Brown
Citrine,#e2c418,226,196,24,Yellow
Deep Cerise,#e43594,228,53,148,Pink
Seal Brown,#2d0b40,45,11,64,Purple
Green (Ryb),#4fb83f,79,184,63,Green
Blue (Pigment),#221e97,34,30,151,Blue
Byzantine,#c032ab,192,50,171,Pink
Thulian Pink,#ed70a2,237,112,162,Pink
United Nations Blue,#55a9e1,85,169,225,Blue
Medium Slate Blue,#6764f6,103,100,246,Blue
Msu Green,#24513b,36,81,59,Green
Lime Green,#43e03b,67,224,59,Green
Dollar Bill,#82ca55,130,202,85,Green
Army Green,#3d5212,61,82,18,Green
Persian Pink,#fb76be,251,118,190,Pink
Mulberry,#c4468a,196,70,138,Pink
Rich Lavender,#a76ed4,167,110,212,Purple
Blue (Pigment),#394a9a,57,74,154,Blue
Turquoise,#2dd8f7,45,216,247,Blue
Purple Pizzazz,#fc4ecc,252,78,204,Pink
Byzantine,#b139ad,177,57,173,Purple
Camouflage Green,#6c886b,108,136,107,Green
North Texas Green,#088f29,8,143,41,Green
Blue (Crayola),#297af3,41,122,243,Blue
Maize,#f1ed55,241,237,85,Yellow
Lime Green,#58db39,88,219,57,Green
Raspberry Rose,#b63d77,182,61,119,Pink
Hooker'S Green,#367664,54,118,100,Green
Indigo (Web),#430abc,67,10,188,Blue
Iris,#5763c9,87,99,201,Blue
Ruddy Pink,#d6918a,214,145,138,Red
Islamic Green,#07b50b,7,181,11,Green
Tiffany Blue,#02c1b8,2,193,184,Blue
Old Gold,#d0bd40,208,189,64,Yellow
Majorelle Blue,#625df4,98,93,244,Blue
Café Noir,#4c3c09,76,60,9,Brown
Gold (Metallic),#d9a930,217,169,48,Yellow
Magic Mint,#abf0bf,171,240,191,Green
Byzantine,#bb11a8,187,17,168,Pink
Pale Brown,#9b6b54,155,107,84,Brown
Mahogany,#c54502,197,69,2,Orange
Rose Bonbon,#ed409e,237,64,158,Pink
Medium Turquoise,#43bded,67,189,237,Blue
Rose Bonbon,#f83d93,248,61,147,Pink
Blue Sapphire,#106772,16,103,114,Blue
Pale Carmine,#ae412f,174,65,47,Red
Ultra Pink,#f45cf6,244,92,246,Pink
Glaucous,#5e6cb2,94,108,178,Blue
French Lime,#c6f904,198,249,4,Yellow
Platinum,#e2daea,226,218,234,Grey
Avocado,#458b14,69,139,20,Green
Sapphire,#1355c5,19,85,197,Blue
Tea Rose (Rose),#f9ccbf,249,204,191,Orange
Old Gold,#c5c838,197,200,56,Green
Phthalo Blue,#0c108a,12,16,138,Blue
Dark Orchid,#a13dd4,161,61,212,Purple
Palatinate Blue,#2224d7,34,36,215,Blue
Violet (Ryb),#6b10bf,107,16,191,Purple
Mint,#46bb82,70,187,130,Green
Turquoise,#28d1ac,40,209,172,Green
Cerulean Blue,#335ccc,51,92,204,Blue
Byzantine,#bb26b6,187,38,182,Pink
Golden Brown,#87601c,135,96,28,Brown
Azure,#057dfa,5,125,250,Blue
Lime (Web) (X11 Green),#0bf826,11,248,38,Green
Bright Turquoise,#21fdd6,33,253,214,Green
Inchworm,#b9f573,185,245,115,Green
Lawn Green,#76fd1c,118,253,28,Green
Sapphire,#144cd6,20,76,214,Blue
Ucla Gold,#f7b405,247,180,5,Orange
Glaucous,#647ec8,100,126,200,Blue
Pastel Magenta,#eb9cc6,235,156,198,Pink
Orchid,#e668df,230,104,223,Pink
Mauve,#dfb5f9,223,181,249,Purple
Battleship Grey,#858585,133,133,133,Grey
Napier Green,#207b00,32,123,0,Green
Ultramarine,#110295,17,2,149,Blue
Napier Green,#2d8110,45,129,16,Green
Aureolin,#f2f20b,242,242,11,Yellow
Myrtle,#213914,33,57,20,Green
Kenyan Copper,#6e1d03,110,29,3,Brown
Neon Green,#24dd09,36,221,9,Green
Neon Green,#41fa4e,65,250,78,Green
Old Lavender,#797979,121,121,121,Grey
Light Blue,#a6d1e3,166,209,227,Blue
Glitter,#e7eafd,231,234,253,Purple
Regalia,#481f86,72,31,134,Purple
Languid Lavender,#d2ceea,210,206,234,Purple
Sea Blue,#035e90,3,94,144,Blue
Ufo Green,#3edb61,62,219,97,Green
Shamrock Green,#10a15e,16,161,94,Green
Dark Yellow,#99921e,153,146,30,Green
Persian Pink,#f574c3,245,116,195,Pink
Light Green,#90e87d,144,232,125,Green
Vivid Cerise,#da2399,218,35,153,Pink
Deep Saffron,#faa333,250,163,51,Orange
Green (Crayola),#15937d,21,147,125,Green
Ufo Green,#3afe63,58,254,99,Green
Cordovan,#894244,137,66,68,Brown
Palatinate Purple,#50275b,80,39,91,Purple
St. Patrick'S Blue,#23275c,35,39,92,Purple
Fern Green,#419044,65,144,68,Green
Kelly Green,#64b30e,100,179,14,Green
Jungle Green,#26a88c,38,168,140,Green
Pistachio,#9cd469,156,212,105,Green
St. Patrick'S Blue,#2c2571,44,37,113,Blue
Blue-Violet,#8933f0,137,51,240,Purple
Veronica,#9e1dd9,158,29,217,Pink
Manatee,#9e9e9e,158,158,158,Grey
Lime (Color Wheel),#c0ec0f,192,236,15,Yellow
Blue (Ryb),#1e3dfe,30,61,254,Blue
Lime Green,#58da32,88,218,50,Green
Opera Mauve,#bb7b9e,187,123,158,Pink
Celestial Blue,#5082cf,80,130,207,Blue
Brass,#bba637,187,166,55,Yellow
Light Sea Green,#26baac,38,186,172,Blue
Android Green,#a7cb3e,167,203,62,Green
Paris Green,#4cc87d,76,200,125,Green
Seal Brown,#2c082c,44,8,44,Purple
Mauvelous,#ea9fae,234,159,174,Red
Cocoa Brown,#e0721c,224,114,28,Orange
Medium Blue,#0121e6,1,33,230,Blue
Green (Munsell),#089c7f,8,156,127,Green
Dark Orchid,#9025ba,144,37,186,Purple
Granny Smith Apple,#a6e58e,166,229,142,Green
Cinereous,#9a997b,154,153,123,Grey
Medium Blue,#0816d7,8,22,215,Blue
Sea Green,#43985b,67,152,91,Green
Cerulean Blue,#2b70b5,43,112,181,Blue
Purple Pizzazz,#e454d6,228,84,214,Pink
Paris Green,#4aef75,74,239,117,Green
Myrtle,#2f4a0d,47,74,13,Green
Pastel Orange,#f4b84d,244,184,77,Orange
Vivid Burgundy,#a40832,164,8,50,Red
Medium Orchid,#ba5de5,186,93,229,Pink
Urobilin,#ddac0b,221,172,11,Orange
Venetian Red,#bf0d13,191,13,19,Red
Light Green,#8be7a8,139,231,168,Green
Regalia,#561790,86,23,144,Purple
Medium Sea Green,#49a17c,73,161,124,Green
Army Green,#3d4f23,61,79,35,Green
Cardinal,#c01c34,192,28,52,Red
Turkish Rose,#b9738a,185,115,138,Pink
Ultramarine Blue,#5e68fa,94,104,250,Blue
Medium Turquoise,#48dab6,72,218,182,Green
Magic Mint,#a4f7d9,164,247,217,Green
Medium Orchid,#b847f2,184,71,242,Purple
Brilliant Rose,#f155b9,241,85,185,Pink
Sandstorm,#dec850,222,200,80,Yellow
Rich Electric Blue,#1f84ca,31,132,202,Blue
Avocado,#57870c,87,135,12,Green
Turquoise,#2cf5c9,44,245,201,Green
Razzle Dazzle Rose,#d42dca,212,45,202,Pink
Ochre,#cc7121,204,113,33,Orange
Periwinkle,#c5ccfb,197,204,251,Blue
Han Purple,#521dd2,82,29,210,Blue
Byzantine,#b61fad,182,31,173,Pink
Palatinate Blue,#002be1,0,43,225,Blue
Bright Green,#6cf636,108,246,54,Green
Bright Ube,#d282e5,210,130,229,Purple
Dark Slate Blue,#503986,80,57,134,Purple
Han Purple,#4c20dd,76,32,221,Blue
Army Green,#3f6d16,63,109,22,Green
Forest Green (Web),#2a942c,42,148,44,Green
Lime Green,#5adf42,90,223,66,Green
Purple Pizzazz,#ed4aca,237,74,202,Pink
True Blue,#0380dc,3,128,220,Blue
Deep Carmine Pink,#f8393a,248,57,58,Red
Avocado,#418f0f,65,143,15,Green
Moonstone Blue,#7abec8,122,190,200,Blue
Carolina Blue,#94b0f6,148,176,246,Blue
Telemagenta,#d82f71,216,47,113,Red
Zaffre,#1814ab,24,20,171,Blue
Mountbatten Pink,#897a8f,137,122,143,Grey
Cal Poly Green,#1d6233,29,98,51,Green
Light Sea Green,#2db1ac,45,177,172,Blue
Camouflage Green,#72895e,114,137,94,Green
Violet-Blue,#3f43a4,63,67,164,Blue
Brilliant Rose,#fa50a3,250,80,163,Pink
Harlequin,#22f301,34,243,1,Green
Spring Green,#16f76a,22,247,106,Green
Turquoise Blue,#13f9ee,19,249,238,Blue
Peridot,#ebe004,235,224,4,Yellow
Psychedelic Purple,#db1df6,219,29,246,Pink
