color_name,hex,R,G,B,color_class
Dark Scarlet,#560319,86,3,25,Red
Dark Sea Green,#8fbc8f,143,188,143,Green
Dark Sienna,#3c1414,60,20,20,Brown
Dark Slate Blue,#483d8b,72,61,139,Blue
Dark Slate Gray,#2f4f4f,47,79,79,Grey
Dark Spring Green,#177245,23,114,69,Green
Dark Tan,#918151,145,129,81,Green
Dark Tangerine,#ffa812,255,168,18,Orange
Dark Taupe,#483c32,72,60,50,Brown
Dark Terra Cotta,#cc4e5c,204,78,92,Pink
Dark Turquoise,#00ced1,0,206,209,Blue
Dark Violet,#9400d3,148,0,211,Purple
Dark Yellow,#9b870c,155,135,12,Yellow
Dartmouth Green,#00703c,0,112,60,Green
Davy'S Grey,#555,85,85,85,Grey
Debian Red,#d70a53,215,10,83,Red
Deep Carmine,#a9203e,169,32,62,Red
Deep Carmine Pink,#ef3038,239,48,56,Pink
Deep Carrot Orange,#e9692c,233,105,44,Orange
Deep Cerise,#da3287,218,50,135,Pink
Deep Champagne,#fad6a5,250,214,165,Orange
Deep Chestnut,#b94e48,185,78,72,Red
Deep Coffee,#704241,112,66,65,Brown
Deep Fuchsia,#c154c1,193,84,193,Purple
Deep Jungle Green,#004b49,0,75,73,Green
Deep Lilac,#95b,153,85,187,Purple
Deep Magenta,#c0c,204,0,204,Purple
Deep Peach,#ffcba4,255,203,164,Orange
Deep Pink,#ff1493,255,20,147,Pink
Deep Ruby,#843f5b,132,63,91,Purple
Deep Saffron,#f93,255,153,51,Orange
Deep Sky Blue,#00bfff,0,191,255,Blue
Deep Tuscan Red,#66424d,102,66,77,Brown
Denim,#1560bd,21,96,189,Blue
Desert,#c19a6b,193,154,107,Brown
Desert Sand,#edc9af,237,201,175,Orange
Dim Gray,#696969,105,105,105,Grey
Dodger Blue,#1e90ff,30,144,255,Blue
Dogwood Rose,#d71868,215,24,104,Pink
Dollar Bill,#85bb65,133,187,101,Green
Drab,#967117,150,113,23,Yellow
Duke Blue,#00009c,0,0,156,Blue
Earth Yellow,#e1a95f,225,169,95,Yellow
Ebony,#555d50,85,93,80,Green
Ecru,#c2b280,194,178,128,Orange
Eggplant,#614051,97,64,81,Purple
Eggshell,#f0ead6,240,234,214,Yellow
Egyptian Blue,#1034a6,16,52,166,Blue
Electric Blue,#7df9ff,125,249,255,Blue
Electric Crimson,#ff003f,255,0,63,Red
Electric Cyan,#0ff,0,255,255,Blue
Electric Green,#0f0,0,255,0,Green
Electric Indigo,#6f00ff,111,0,255,Purple
Electric Lavender,#f4bbff,244,187,255,Purple
Electric Lime,#cf0,204,255,0,Green
Electric Purple,#bf00ff,191,0,255,Purple
Electric Ultramarine,#3f00ff,63,0,255,Blue
Electric Violet,#8f00ff,143,0,255,Pink
Electric Yellow,#ff0,255,255,0,Yellow
Emerald,#50c878,80,200,120,Green
English Lavender,#b48395,180,131,149,Purple
Eton Blue,#96c8a2,150,200,162,Green
Fallow,#c19a6b,193,154,107,Brown
Falu Red,#801818,128,24,24,Red
Fandango,#b53389,181,51,137,Purple
Fashion Fuchsia,#f400a1,244,0,161,Pink
Fawn,#e5aa70,229,170,112,Orange
Feldgrau,#4d5d53,77,93,83,Grey
Fern Green,#4f7942,79,121,66,Green
Ferrari Red,#ff2800,255,40,0,Red
Field Drab,#6c541e,108,84,30,Brown
Fire Engine Red,#ce2029,206,32,41,Red
Firebrick,#b22222,178,34,34,Red
Flame,#e25822,226,88,34,Orange
Flamingo Pink,#fc8eac,252,142,172,Pink
Flavescent,#f7e98e,247,233,142,Yellow
Flax,#eedc82,238,220,130,Yellow
Floral White,#fffaf0,255,250,240,White
Fluorescent Orange,#ffbf00,255,191,0,Orange
Fluorescent Pink,#ff1493,255,20,147,Pink
Fluorescent Yellow,#cf0,204,255,0,Yellow
Folly,#ff004f,255,0,79,Red
Forest Green (Traditional),#014421,1,68,33,Green
Forest Green (Web),#228b22,34,139,34,Green
French Beige,#a67b5b,166,123,91,Brown
French Blue,#0072bb,0,114,187,Blue
French Lilac,#86608e,134,96,142,Purple
French Lime,#cf0,204,255,0,Green
French Raspberry,#c72c48,199,44,72,Red
French Rose,#f64a8a,246,74,138,Pink
Fuchsia,#f0f,255,0,255,Purple
Fuchsia (Crayola),#c154c1,193,84,193,Purple
Fuchsia Pink,#f7f,255,119,255,Pink
Fuchsia Rose,#c74375,199,67,117,Pink
Fulvous,#e48400,228,132,0,Orange
Fuzzy Wuzzy,#c66,204,102,102,Pink
Gainsboro,#dcdcdc,220,220,220,Grey
Gamboge,#e49b0f,228,155,15,Orange
Ghost White,#f8f8ff,248,248,255,White
Ginger,#b06500,176,101,0,Orange
Glaucous,#6082b6,96,130,182,Blue
Glitter,#e6e8fa,230,232,250,Blue
Gold (Metallic),#d4af37,212,175,55,Yellow
Gold (Web) (Golden),#ffd700,255,215,0,Yellow
Golden Brown,#996515,153,101,21,Brown
Golden Poppy,#fcc200,252,194,0,Yellow
Golden Yellow,#ffdf00,255,223,0,Yellow
Goldenrod,#daa520,218,165,32,Yellow
Granny Smith Apple,#a8e4a0,168,228,160,Green
Gray,#808080,128,128,128,Grey
Gray-Asparagus,#465945,70,89,69,Green
Gray (Html/Css Gray),#808080,128,128,128,Grey
Gray (X11 Gray),#bebebe,190,190,190,Grey
Green (Color Wheel) (X11 Green),#0f0,0,255,0,Green
Green (Crayola),#1cac78,28,172,120,Green
Green (Html/Css Green),#008000,0,128,0,Green
Green (Munsell),#00a877,0,168,119,Green
Green (Ncs),#009f6b,0,159,107,Green
Green (Pigment),#00a550,0,165,80,Green
Green (Ryb),#66b032,102,176,50,Green
Green-Yellow,#adff2f,173,255,47,Green
Grullo,#a99a86,169,154,134,Brown
Guppie Green,#00ff7f,0,255,127,Green
Halayà úBe,#663854,102,56,84,Purple
Han Blue,#446ccf,68,108,207,Blue
Han Purple,#5218fa,82,24,250,Purple
Hansa Yellow,#e9d66b,233,214,107,Yellow
Harlequin,#3fff00,63,255,0,Green
Harvard Crimson,#c90016,201,0,22,Red
Harvest Gold,#da9100,218,145,0,Orange
Heart Gold,#808000,128,128,0,Green
Heliotrope,#df73ff,223,115,255,Purple
Hollywood Cerise,#f400a1,244,0,161,Pink
Honeydew,#f0fff0,240,255,240,Green
Honolulu Blue,#007fbf,0,127,191,Blue
Hooker'S Green,#49796b,73,121,107,Green
Hot Magenta,#ff1dce,255,29,206,Pink
Hot Pink,#ff69b4,255,105,180,Pink
Hunter Green,#355e3b,53,94,59,Green
Iceberg,#71a6d2,113,166,210,Blue
Icterine,#fcf75e,252,247,94,Yellow
Imperial Blue,#002395,0,35,149,Blue
Inchworm,#b2ec5d,178,236,93,Green
India Green,#138808,19,136,8,Green
Indian Red,#cd5c5c,205,92,92,Red
Indian Yellow,#e3a857,227,168,87,Yellow
Indigo,#6f00ff,111,0,255,Purple
Indigo (Dye),#00416a,0,65,106,Blue
Indigo (Web),#4b0082,75,0,130,Purple
International Klein Blue,#002fa7,0,47,167,Blue
International Orange (Aerospace),#ff4f00,255,79,0,Orange
International Orange (Engineering),#ba160c,186,22,12,Orange
International Orange (Golden Gate Bridge),#c0362c,192,54,44,Orange
Iris,#5a4fcf,90,79,207,Pink
Isabelline,#f4f0ec,244,240,236,White
Islamic Green,#009000,0,144,0,Green
Ivory,#fffff0,255,255,240,White
Jade,#00a86b,0,168,107,Green
Jasmine,#f8de7e,248,222,126,Yellow
Jasper,#d73b3e,215,59,62,Red
Jazzberry Jam,#a50b5e,165,11,94,Red
Jet,#343434,52,52,52,Black
Jonquil,#fada5e,250,218,94,Yellow
June Bud,#bdda57,189,218,87,Green
Jungle Green,#29ab87,41,171,135,Green
Kelly Green,#4cbb17,76,187,23,Green
Kenyan Copper,#7c1c05,124,28,5,Brown
Khaki (Html/Css) (Khaki),#c3b091,195,176,145,Brown
Khaki (X11) (Light Khaki),#f0e68c,240,230,140,Yellow
Ku Crimson,#e8000d,232,0,13,Red
La Salle Green,#087830,8,120,48,Green
Languid Lavender,#d6cadd,214,202,221,Purple
Lapis Lazuli,#26619c,38,97,156,Blue
Laser Lemon,#fefe22,254,254,34,Yellow
Laurel Green,#a9ba9d,169,186,157,Green
Lava,#cf1020,207,16,32,Red
Lavender Blue,#ccf,204,204,255,Purple
Lavender Blush,#fff0f5,255,240,245,Pink
Lavender (Floral),#b57edc,181,126,220,Purple
Lavender Gray,#c4c3d0,196,195,208,Grey
Lavender Indigo,#9457eb,148,87,235,Purple
Lavender Magenta,#ee82ee,238,130,238,Purple
Lavender Mist,#e6e6fa,230,230,250,Purple
Lavender Pink,#fbaed2,251,174,210,Pink
Lavender Purple,#967bb6,150,123,182,Purple
Lavender Rose,#fba0e3,251,160,227,Pink
Lavender (Web),#e6e6fa,230,230,250,Purple
Lawn Green,#7cfc00,124,252,0,Green
Lemon,#fff700,255,247,0,Yellow
Lemon Chiffon,#fffacd,255,250,205,Yellow
Lemon Lime,#e3ff00,227,255,0,Yellow
Licorice,#1a1110,26,17,16,Black
